Time (s),Wind Speed (m/s),Load Variation (MW),Frequency Deviation (Hz),Battery SOC (%)
0,12.073524276402283,99.30944460665069,1.8707063946025384,51.0896582543371
3,11.774214474721388,99.11716201745077,1.8621481573149488,48.03460412080192
8,12.087844071567732,99.20796224293922,1.870627555770468,50.45772509364237
10,12.95830172888081,99.6604267919679,1.8647174542524192,53.28978359286783
12,12.054199920874018,101.26219772441544,1.899854899403582,51.75065675566884
14,11.831488103022084,102.20563192756728,1.9176406757126545,50.36992611653458
15,11.819006157466497,100.80019867524072,1.905118287171663,51.94361069665353
17,12.371493504153769,99.09295447810216,1.8607453296514576,50.479100082378096
19,12.2922379977881,100.24475141208684,1.8783520773703195,51.57141810914323
20,11.695283433612923,99.61816110855928,1.872486462710529,50.14732437725332
23,12.215097563177167,101.54179642571,1.9095206844393224,51.31468679624125
26,13.44687116817025,101.8936540124565,1.9010933851280365,45.11078088517331
27,12.29888254428444,100.23142307374133,1.8811503914846504,49.75140734834031
28,12.030474990180908,101.46204569394462,1.9131656269417816,52.16012535204081
29,13.424866007048426,102.01677408417434,1.9008590584433955,50.16721425742384
30,11.948048043687384,100.99758148983524,1.899051044166024,48.37228305667901
31,12.24259780093518,99.7984450808452,1.8642330035089416,49.77652991858055
33,11.988260899840908,101.10228060326963,1.9080295241751688,45.94678645556901
34,13.364811292844076,102.54734278390656,1.9238731233198016,54.256032832255904
35,12.818296258096954,102.42527239265524,1.917632729545695,52.03763059141869
36,11.54723728587675,102.73160059105405,1.9417784190887932,50.99926062872407
37,11.927295839901165,99.86569681710502,1.8753115923288324,51.41163887526899
39,12.821556728720935,100.52795184554068,1.8787988140096583,48.37629001017503
41,12.43103392742122,102.16690038670214,1.9261794289688208,49.23348089861622
44,12.490171823588488,102.12394007575016,1.908347504899892,50.92064675268009
45,12.548872367757289,99.84216308188336,1.874207191762873,52.43348303597318
46,12.381596455370325,101.56957387334812,1.9105710529793127,53.65710736424924
47,12.221765813563106,103.5536918896538,1.95014777295314,56.74024126592035
48,12.697280109652963,101.56529967592118,1.9069416513857411,53.61816565845961
50,11.233314646716268,102.43479853597884,1.9383107803013635,52.0947103180532
51,12.662108992348092,102.18879163550572,1.9238336033002037,48.81567487105297
56,12.42205926194009,101.53418046163154,1.9024065384782252,52.7969380288062
57,12.90060668810831,103.4235013692748,1.9347823260873005,48.92668212675568
58,12.219440285184705,104.14649754971204,1.965672913660517,52.242924439680266
59,11.894926722763785,104.97036722233452,1.9783923926658469,53.698842421141
61,12.632470573636176,104.40026293571222,1.967164196089536,49.31898334841456
63,12.982038883106394,102.4108359376204,1.921886011445382,50.58695724305666
65,12.933797767865894,103.38579359813106,1.9386691902704731,52.1338996130107
66,12.486060002493293,102.12184706996536,1.9130752144664565,48.982446470631366
68,12.505509314952452,103.82516336115069,1.946102440878526,47.296864689459056
69,12.721934632242537,103.83722818086646,1.949937778955846,48.84230146857186
70,13.198957485353631,103.58494737957608,1.9446170680093675,51.97500315509625
73,13.124916786626876,104.34307108047098,1.953682694961728,53.001602974200914
75,12.83973797700345,103.37391354053996,1.9375689404990657,50.99325330159897
76,12.52789856736113,102.40330098673223,1.9158752622435695,51.30552759047382
79,12.873961560320792,104.08730735704488,1.9508059982019696,51.345039300779824
80,12.312790238444103,105.72208203752824,1.9987866758259816,52.01091633613192
81,12.93585260787062,102.6257289077082,1.919374690119775,53.0053948276251
84,13.08528997179001,104.95204337167252,1.97297085633319,53.50265168717986
87,12.21876397123049,102.34768749959534,1.9179240746626276,51.43130296748416
88,12.5067303592557,103.68174721044336,1.9406525205408451,49.3470121006384
90,13.02773211109912,102.78842683794002,1.9207797903747936,49.95809664288428
91,12.977750589308602,104.8816933905036,1.971999857386103,51.26822060082561
92,12.587465617107636,105.70876936884264,1.984571266054003,50.64579469334529
93,12.975028959254107,102.98675886687506,1.9234892982416487,48.86596659981049
95,13.16463088635441,104.63629298914968,1.9541808467493065,51.625515052192064
96,13.415402725585766,102.9267163511858,1.9246851224527055,50.04605478197516
99,12.50774763494044,106.13572457235756,1.9943008548436123,52.31312114725388
100,12.36308832240868,104.4021144677565,1.9618548437773204,52.5304449325371
101,12.287676916018338,104.45301867783544,1.9553488145621725,53.15396487484658
102,12.095844509007197,105.5159641975369,2.00084072835702,52.83404548900005
103,13.293912835985871,105.33396278172134,1.970297069124804,53.4655048141384
104,13.367538313101065,106.18801959675169,1.9991076515849344,53.26596185482048
106,13.420697992911764,105.4278041081016,1.9681920300104263,52.73479913526959
107,12.85628606079898,104.63759391655636,1.963599969991885,50.412532816820764
108,13.002696997629856,103.51423565611748,1.940869230818852,51.33521831923516
110,12.627069166905253,103.15692718652458,1.9383352179804203,47.689093752593365
111,12.865453240567392,104.911818807538,1.9629809228114543,52.903226535070495
118,12.509185554948743,106.04438713682556,1.995908976489896,51.171874125912616
119,13.92665677946636,104.08446606321736,1.9524796893466576,53.94053399753284
121,13.4863896577819,104.57807887164442,1.9613394218472984,52.33543709846515
122,12.50108335869144,104.36585232843215,1.9662357637276235,52.841723279541824
124,13.69924159268606,105.9790719317263,1.9767929372385544,52.83888316790364
128,13.652588146169334,106.0887927572086,1.990635669867518,53.91479458079845
129,12.785671560148955,106.81498391301632,2.006555446236769,51.521667818770624
131,13.630364377187773,104.39220029611911,1.9443089508091445,54.88807513051528
132,12.985415837579506,103.97355417462424,1.9582946522102327,53.77332752503358
135,13.080607154362657,104.93102357104549,1.969998353767008,55.63321717046748
142,12.51631743926262,104.6331554720946,1.9785384573496665,54.40572522116318
143,13.478880910645652,105.00216460943278,1.9679473597232384,51.34252910237748
144,13.384903368038024,104.70665984324032,1.955706088457396,58.37462323719021
149,12.750706456762757,104.13996523899452,1.9531520321226417,53.57511819825611
151,13.604080875383636,106.5382769561923,1.99804456419132,55.45834028935556
156,13.00620211522488,105.40227561694772,1.9813837465094872,49.93901337942263
157,14.128739616073997,105.52947591773622,1.954347104170584,53.60785361565848
164,12.817856382868264,104.59640063396874,1.9707277655731847,56.34445013553206
167,12.874062360375136,105.02110973240003,1.972557242917417,53.71042340375767
168,13.318887351540948,104.08258977143052,1.9426087549254407,51.97944806142796
169,13.662418706077776,105.12576033387916,1.9626015619948127,50.23958904320289
170,14.137454815903752,104.0000937917008,1.94228734091854,53.50665992176232
171,13.936265506879751,105.07153828753216,1.9727651745620909,51.393577262356
172,13.933617690830191,103.98642109417672,1.9401121739096512,51.73672681770364
176,13.2216402082538,105.25643515474712,1.9810158786145131,56.53480827041125
177,13.257660949546224,105.8683114791672,1.980462245223204,51.68196572390419
178,14.175565659582876,104.3030735055978,1.9425031679006517,51.02043598969621
179,12.585782138497937,105.45144929912846,1.9891780055140624,54.80769042137294
180,12.611121521879516,105.52681312680797,1.9900752704138345,52.98336189463885
181,14.075862323557631,104.84968867892891,1.94587392658462,54.62373606392068
183,13.465852076363872,107.15881467791284,1.999365576562601,54.03588668998732
184,12.557140731552655,103.8497579173953,1.9369608183635012,53.750999240637725
185,14.446104604489838,105.8663340092013,1.9724679449502676,56.458636615454814
188,13.940709839206807,103.6399706564783,1.9411020925818467,50.388870672981966
196,14.28194681164114,105.3862289364352,1.9522321974079997,50.915915011612114
198,13.586720185223992,105.41978482400415,1.974216966386653,53.952374278602136
199,13.03637600426831,102.78682656130914,1.9259422395368675,51.0975915355682
208,13.921223980629913,105.16943729504382,1.9630480202074123,55.39954193642544
209,13.95735958549961,103.95121410628212,1.9391475796719968,52.216536834400245
210,14.164652259828872,104.19360407859024,1.9368626009507453,53.446901127042565
211,13.984514724713138,103.61917856262848,1.933691502544244,54.16330379328759
212,13.778478977217771,105.14879961864835,1.970765280910472,56.254655347379725
214,13.485586285822787,103.68623961396636,1.935012792649004,54.13260377511621
216,13.697668112010092,102.23922510957637,1.912473375846916,52.90471634143638
217,14.201422362417135,104.60596134634493,1.9453887198723476,56.80304166721226
218,14.051473450603885,104.40031140831674,1.9550001007275015,54.413719940139245
220,13.9590381904186,104.24033708085857,1.9437064415871863,56.06479788480155
221,13.45975049553588,102.1201605631002,1.9113449896303212,58.0570403084076
222,14.435826747318158,103.5269953077288,1.9242273596721695,59.13712259605962
223,13.077236236916836,104.5708578927558,1.955171375279889,53.19819832795139
227,13.811123515783049,102.15911907284487,1.9044862281032704,54.64608192710185
228,14.958048705623936,104.76092939592776,1.9442280230699995,52.9765442209431
229,13.900071650516294,102.97728213884196,1.9206354801993488,52.09204965860762
230,12.788003286522653,103.3170663561338,1.932776410536716,54.92226240283836
231,13.642701114622897,104.92625530367503,1.9580552975485948,53.50228625152906
233,14.72125262022156,103.97857445117016,1.9300772710937228,50.42990531302424
239,14.056553799216776,105.38124507132034,1.967902689337362,56.02404707965348
240,15.155453974108084,103.50420182077433,1.925031948887864,54.50973627639815
242,14.374514294265282,103.33300396663128,1.920832665019693,56.0051573745075
245,13.224503355688764,104.2964715008618,1.95526645893243,55.70629732931423
247,13.65223527084201,103.10832606782957,1.930841966401169,56.94625290048568
248,14.654688625459176,102.5152743884516,1.9019220681148283,53.63832791888955
251,14.72366097582319,102.80762247564128,1.9186750462237605,55.45865504307327
252,14.519653413404797,101.86597545306722,1.8913614069835192,52.70280571604091
254,13.413453795757544,102.15137010322854,1.902902169224581,55.500850825414
257,13.877761539896175,100.4903306210519,1.871002238768232,57.16775596023466
259,13.85787305989316,101.19878007672996,1.8909154715737937,50.51901081979167
263,13.828279344915964,102.93928769524425,1.9347013578880543,51.32536999197202
265,13.675874620731092,102.60758088632517,1.9155475828791648,59.40873771462208
267,13.978242035373588,103.31636640187808,1.926642061242348,53.44434765568809
268,14.030305979949976,104.43972840458434,1.9484768640366248,58.450950681123146
272,13.684781159631152,102.736810788891,1.9109570735994628,51.9074346029732
273,14.375427757734244,103.16715584025808,1.9212917699768508,55.62097570648643
274,14.704140984551042,101.46446672986286,1.8856672400980663,54.9588397167444
279,14.754685593648247,101.7218975878962,1.893001405983084,58.27512720684101
284,13.277747424003303,99.3716040631056,1.8626314974263047,59.21479896768514
286,14.546800280707178,101.35917670732084,1.8859839411602912,55.80245559510835
287,14.006359589318087,101.11973467034356,1.8849326953699483,56.72415409615407
288,13.636799579060211,102.53914562761022,1.91390340756452,55.55414757876852
290,12.883095743726196,100.81373323552022,1.88070237395606,56.597481305485
291,13.605126805988055,101.60435093452432,1.8924484321771609,56.41756111192079
292,13.77816860076149,100.53384581392694,1.8709672212760795,53.12065653321196
293,14.115078074824597,100.46807422391404,1.86701221582582,56.56084706509862
295,14.139428882700209,101.41267431562112,1.8827907086895048,54.410830708007374
296,14.063167047043653,102.34281265462477,1.906155117975694,55.42995042063736
297,14.392722210532632,100.88002404290964,1.873382572177688,55.01942669312225
300,13.944461796715302,100.92224272742544,1.8756158809017172,54.16803979902389
303,14.369171621422096,100.74962439235529,1.8682655028357336,55.06624685200618
304,13.87135832478436,100.33727223100416,1.8726627613749476,52.61317696173893
308,14.743715943587404,98.93007043622328,1.8326752910465771,54.642010581174
310,14.661226927084222,99.38500282603395,1.8380451367860524,54.6371561223034
311,14.253432006993105,99.55460865827024,1.8530884041195987,54.786821155772266
312,13.682227432274695,100.36793865012412,1.8647502722400064,57.68380009641434
314,14.152172273402746,99.43197483900065,1.837702346076877,57.77705691365744
315,14.966061949878965,100.13912667677856,1.8620245635177783,55.64897672089392
316,14.7159275392055,99.47201818141306,1.8507014848722791,53.98964063470506
318,13.69604500821734,99.35171499483458,1.8529801267190849,60.47676994923312
319,13.868454011236167,101.47625854522404,1.8923421722752125,58.2186787804598
320,14.328468392859088,99.5620039746461,1.846857691670566,55.40004776841952
321,13.386217435126254,99.52661088474451,1.85059176348798,55.79512644438788
322,14.007009355934718,100.57348160479032,1.874808388282193,56.13595419922413
323,14.060810125292624,100.44161192880746,1.862708321258436,54.47756460105119
324,13.727389854179188,100.52509989843168,1.8695843530695069,56.85249189013405
325,14.292427062620506,98.41885141495467,1.8286487139995515,55.97699295971252
326,14.826766185481109,99.67763020870152,1.834384472695006,59.95928886310367
327,13.96817116679198,99.3504020305818,1.8402634934630355,55.29348063948776
328,14.319919946473911,99.1456604742889,1.8383536636076243,54.30392995576533
330,13.8532285469078,99.98404768799328,1.8716781996964893,50.18354940105133
332,13.25755016796367,99.59030195994836,1.8555557751255536,53.2637384677457
333,14.256593810734456,99.07666930143712,1.838280111147944,55.49570149920433
334,14.355796591714508,101.3189950685318,1.8842493374935383,52.87323358956144
335,13.212442869996702,98.0205382886184,1.8246995703169588,56.057635465691945
336,14.378333051948625,97.7105414007839,1.805261883633418,61.74761822874626
